Index,Title,URL,Album ID,Track Count
195,"Live on WRVU, Loud Love (31-01-2011)",https://rsteviemoore.bandcamp.com/album/live-on-wrvu-loud-love-31-01-2011,3752602141,21
196,"RSM Sings ""Carmen""",https://rsteviemoore.bandcamp.com/album/rsm-sings-carmen,2704070037,28
197,1 1 1 1 1 / Music For Feel,https://rsteviemoore.bandcamp.com/album/1-1-1-1-1-music-for-feel,2946908660,32
198,Best of 'Copy Me': RSM Tribute Project (2010),https://rsteviemoore.bandcamp.com/album/best-of-copy-me-rsm-tribute-project-2010,1646910645,24
199,.,https://rsteviemoore.bandcamp.com/album/--5,588357554,1
200,Copy Me: RSM Tribute 8,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-8,4221401882,31
201,Copy Me: RSM Tribute 7,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-7,2193741401,27
202,Copy Me: RSM Tribute 6,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-6,1017262320,26
203,Copy Me: RSM Tribute 5,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-5,2015965510,27
204,Copy Me: RSM Tribute 4,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-4,3668780573,26
205,Then Get Out,https://rsteviemoore.bandcamp.com/album/then-get-out,506467266,28
206,Space Bar,https://rsteviemoore.bandcamp.com/album/space-bar,2730619937,28
207,Monotheism 2010,https://rsteviemoore.bandcamp.com/album/monotheism-2010,833567049,43
208,RSM Powertrio Practicerun e.p.,https://rsteviemoore.bandcamp.com/album/rsm-powertrio-practicerun-e-p,187367927,5
209,Snag,https://rsteviemoore.bandcamp.com/album/snag,2614569486,13
210,Copy Me: RSM Tribute 3,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-3,3647563981,27
211,Copy Me: RSM Tribute 2,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-2,4024454737,25
212,Copy Me: RSM Tribute 1,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-1,3931631624,24
213,Mind Crack,https://rsteviemoore.bandcamp.com/album/mind-crack,2467582630,80
214,Errorism disc1,https://rsteviemoore.bandcamp.com/album/errorism-disc1,1198831570,30
215,Errorism disc2,https://rsteviemoore.bandcamp.com/album/errorism-disc2,1271188697,27
216,Stop Them,https://rsteviemoore.bandcamp.com/album/stop-them,4006100912,69
217,Stop Them [w/ BJanoff],https://rsteviemoore.bandcamp.com/album/stop-them-w-bjanoff,3128185123,69
218,Text Rage /1,https://rsteviemoore.bandcamp.com/album/text-rage-1,552399374,75
219,Text Rage /2,https://rsteviemoore.bandcamp.com/album/text-rage-2,2902992208,96
220,RODAN ~ r. stevie moorechestra,https://rsteviemoore.bandcamp.com/album/rodan-r-stevie-moorechestra,2579507044,15
221,RSM Interview Tapes 2008,https://rsteviemoore.bandcamp.com/album/rsm-interview-tapes-2008,3501870625,17
222,Coo Coo Rockin Time,https://rsteviemoore.bandcamp.com/album/coo-coo-rockin-time,1644816502,17
223,LimeWire performance + interview 2009,https://rsteviemoore.bandcamp.com/album/limewire-performance-interview-2009,3219952634,10
224,Mordry Times (w/Michael Jodry),https://rsteviemoore.bandcamp.com/album/mordry-times-w-michael-jodry,2706460318,15
225,Me Too! Live video soundtrack,https://rsteviemoore.bandcamp.com/album/me-too-live-video-soundtrack,280349082,4
226,Sentimental Ties,https://rsteviemoore.bandcamp.com/album/sentimental-ties,3137952142,17
227,Live at Cakeshop 2008,https://rsteviemoore.bandcamp.com/album/live-at-cakeshop-2008,755933109,1
228,Fakebook /2. ACEDIA MEDIA,https://rsteviemoore.bandcamp.com/album/fakebook-2-acedia-media,3166585294,53
229,"Fakebook /5. SHE BE LIKE, THEN HE BE LIKE",https://rsteviemoore.bandcamp.com/album/fakebook-5-she-be-like-then-he-be-like,30539424,92
230,Fakebook /6. PULITZER Prize 99¢,https://rsteviemoore.bandcamp.com/album/fakebook-6-pulitzer-prize-99,1073615783,55
231,Fakebook /4. Rhino Tophat,https://rsteviemoore.bandcamp.com/album/fakebook-4-rhino-tophat,3621989453,57
232,Fakebook /3. Turvimajic,https://rsteviemoore.bandcamp.com/album/fakebook-3-turvimajic,1735537990,37
233,Fakebook /1. Kerouac Jackoff,https://rsteviemoore.bandcamp.com/album/fakebook-1-kerouac-jackoff,3515387197,29
